Name,nid_dam_name,nid_id,nid_distance_km,nid_owner_names,nid_owner_type,nid_max_storage
Abiquiu,Abiquiu Dam,NM00001,0,USACE - Albuquerque District,Federal,1369000
Agate,Agate Dam,OR00422,0.09,BUREAU OF RECLAMATION,Federal,5700
Alcova,Alcova Dam,WY01290,0.12,BUREAU OF RECLAMATION,Federal,184405
Alice,Lake Alice Dam 1-1/2,NE01071,2.97,BUREAU OF RECLAMATION,Federal,15287
Alice 2,Minatare Dam,NE01075,8.19,BUREAU OF RECLAMATION,Federal,62190
Altus,Altus North Dike,OK82904,0.42,BUREAU OF RECLAMATION,Federal,168120
American Falls,American Falls Dam,ID00274,0.4,BUREAU OF RECLAMATION,Federal,1671300
Anchor,Anchor Dam,WY01298,0.02,BUREAU OF RECLAMATION,Federal,22390
Anderson Ranch,Anderson Ranch Dam,ID00279,0.12,BUREAU OF RECLAMATION,Federal,474942
Angostura,Angostura Dam,SD01099,0.01,BUREAU OF RECLAMATION,Federal,197100
Arrowrock,Arrowrock Dam,ID00280,0.05,BUREAU OF RECLAMATION,Federal,272224
Avalon,Avalon Dam,NM00132,0.14,BUREAU OF RECLAMATION,Federal,20000
Banks,Dry Falls Dam,WA00261,1.07,BUREAU OF RECLAMATION,Federal,1275000
Belle Fourche,Belle Fourche Dam,SD01100,0.56,BUREAU OF RECLAMATION,Federal,246000
Berryessa,Monticello Dam,CA10170,0.05,BUREAU OF RECLAMATION,Federal,1902086
Beulah,Agency Valley Dam,OR00589,0.19,BUREAU OF RECLAMATION,Federal,59212
Big Sandy,Big Sandy Dike,WY01386,1.21,BUREAU OF RECLAMATION,Federal,54400
Bighorn,Yellowtail Dam,MT00576,0.1,BUREAU OF RECLAMATION,Federal,1331725
Billy Clapp,Pinto Dam,WA00269,0.39,BUREAU OF RECLAMATION,Federal,76500
Black Canyon,Black Canyon Diversion Dam,ID00282,0.04,BUREAU OF RECLAMATION,Federal,31200
Blue Mesa,Blue Mesa Dam,CO01675,9.62,BUREAU OF RECLAMATION,Federal,938469
Boca,Boca Dam,CA10135,0,BUREAU OF RECLAMATION,Federal,40870
Box Butte,Box Butte Dam,NE01069,0.98,BUREAU OF RECLAMATION,Federal,45901
Boysen,Boysen Dam,WY01299,1.86,BUREAU OF RECLAMATION,Federal,1473118
Brantley,Brantley Dam,NM00500,0.51,BUREAU OF RECLAMATION,Federal,966300
Buffalo Bill,Buffalo Bill-Diamond Creek Dike,WY02264,3.93,BUREAU OF RECLAMATION,Federal,646565
Bull,Bull Lake Dam,WY01378,0.17,BUREAU OF RECLAMATION,Federal,163976
Bully Creek,Bully Creek Dam,OR00578,0.22,BUREAU OF RECLAMATION,Federal,31600
Bumping,Bumping Lake Dam,WA00263,0.24,BUREAU OF RECLAMATION,Federal,35400
Caballo,Caballo Dam,NM00131,3.19,BUREAU OF RECLAMATION,Federal,379210
Cachuma,Bradbury Dam,CA10136,0.49,BUREAU OF RECLAMATION,Federal,206900
Calamus,Virginia Smith Dam,NE02287,0.76,BUREAU OF RECLAMATION,Federal,177623
Canyon Ferry,Canyon Ferry Dam,MT00568,0.08,BUREAU OF RECLAMATION,Federal,2051000
